"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"FV1","~1","",1.91048434241665,0.0102357083384147,186.648962558516,0,1.8904227227171,1.9305459621162,1.91048434241665,2.68530887996484
"FV2","~1","",1.88750025568472,0.0100476009549068,187.855813955564,0,1.86780731968208,1.90719319168737,1.88750025568472,2.65761088230618
"FV3","~1","",1.89050252709165,0.00969358402261068,195.026166037451,0,1.87150345152622,1.90950160265708,1.89050252709165,2.70595781343535
"FV4","~1","",1.86330291756915,0.00961941055283571,193.702400717252,0,1.84444921933308,1.88215661580521,1.86330291756915,2.69732461387588
"FV5","~1","",1.86919737381333,0.00984832179956257,189.798567903859,0,1.84989501777803,1.88849972984864,1.86919737381333,2.6896197191867
"FV6","~1","",1.86706729841159,0.00991530986431325,188.301457439213,0,1.84763364818198,1.88650094864119,1.86706729841159,2.66685666340887
"FV7","~1","",1.89196157894098,0.0102048235471337,185.398754834166,0,1.87196049232001,1.91196266556194,1.89196157894098,2.67723962107528
"riBMI","~1","",0,0,NA,NA,0,0,0,0
"riPA","~1","",0,0,NA,NA,0,0,0,0
"riFV","~1","",0,0,NA,NA,0,0,0,0
"wBMI1","~1","",0,0,NA,NA,0,0,0,0
"wPA1","~1","",0,0,NA,NA,0,0,0,0
"wFV1","~1","",0,0,NA,NA,0,0,0,0
"wBMI2","~1","",0,0,NA,NA,0,0,0,0
"wPA2","~1","",0,0,NA,NA,0,0,0,0
"wFV2","~1","",0,0,NA,NA,0,0,0,0
"wBMI3","~1","",0,0,NA,NA,0,0,0,0
"wPA3","~1","",0,0,NA,NA,0,0,0,0
"wFV3","~1","",0,0,NA,NA,0,0,0,0
"wBMI4","~1","",0,0,NA,NA,0,0,0,0
"wPA4","~1","",0,0,NA,NA,0,0,0,0
"wFV4","~1","",0,0,NA,NA,0,0,0,0
"wBMI5","~1","",0,0,NA,NA,0,0,0,0
"wPA5","~1","",0,0,NA,NA,0,0,0,0
"wFV5","~1","",0,0,NA,NA,0,0,0,0
"wBMI6","~1","",0,0,NA,NA,0,0,0,0
"wPA6","~1","",0,0,NA,NA,0,0,0,0
"wFV6","~1","",0,0,NA,NA,0,0,0,0
"wBMI7","~1","",0,0,NA,NA,0,0,0,0
"wPA7","~1","",0,0,NA,NA,0,0,0,0
"wFV7","~1","",0,0,NA,NA,0,0,0,0
